,LabChemTestSID,LabChemTestName,Units,LOINCSID,LOINC,Component,TopSID,Topography,p1,p5,p10,p25,p50,p75,p90,p95,p99,n,min,max
147,425,adlt height,feet,,1754-1,stadiometer,,height,5.069302694,5.285215538,5.38781013,5.613637684,5.839446994,6.031226859,6.233559186,6.33967191,6.643074159,277,4.681182805,6.832951953
148,17,ht,feet,,1754-1,stadiometer,,height,5.106783607,5.276732076,5.411148875,5.605114618,5.82346739,6.07543626,6.275379931,6.37521223,6.600579695,788,4.903490195,6.9203213
149,0,ht,feet,,1754-1,self-reported,,body,5.080940418,5.318268317,5.41252439,5.607654267,5.825864197,6.043654799,6.244932657,6.37318185,6.587798938,1687,4.784593594,7.092759045
150,56,height,feet,,6793-4,height rod,,full-body,5.068325141,5.295217509,5.419994914,5.607694208,5.832290488,6.049883041,6.258200683,6.37537386,6.613291201,5154,4.538476869,7.090852306
151,290,height,ft,,1754-1,self-reported,,body,5.088808207,5.273992093,5.394905476,5.605777904,5.822304716,6.05170253,6.247805057,6.345518032,6.571877563,1306,4.597537073,6.79919784
152,27,ht,ft,,6793-4,height rod,,body,5.123790123,5.314299798,5.407270843,5.598021773,5.809544664,6.034441973,6.240937909,6.365481769,6.563319187,551,4.884782564,6.772456888
153,19,ht,ft,,1754-1,height rod,,height,5.008329239,5.356867807,5.447177733,5.624225519,5.815439979,6.042794673,6.249249515,6.352134033,6.5551942,339,4.804594066,6.741364416
154,163,ht,ft,,6793-4,digital stadiometer,,full-body,5.081946072,5.277728398,5.382906258,5.599510804,5.815212541,6.052591176,6.281136678,6.38169311,6.552191656,542,4.962850802,6.989683992
155,52,ht,feet,,1754-1,stadiometer,,body,4.960345097,5.216894796,5.3446305,5.54226386,5.774070338,5.97551856,6.203347972,6.285622847,6.535979973,114,4.716091802,6.740500815
156,438,stature,feet,,6793-4,height rod,,full-body,5.123293362,5.253719668,5.370262923,5.580318487,5.819879635,6.047297604,6.317017003,6.431005527,6.715943282,172,5.010749647,6.791374736
157,174,stature,ft,,1754-1,digital stadiometer,,full-body,5.058668837,5.301606298,5.407442607,5.61277207,5.834246329,6.046972663,6.229800151,6.317725844,6.571245908,1231,4.814250595,6.828103925
158,480,stature,feet,,6793-4,stadiometer,,adult height,5.08490494,5.298225124,5.420045785,5.635460861,5.858367272,6.057909847,6.23722348,6.396468857,6.609010441,858,4.918566314,6.965618237
159,318,adlt height,feet,,1754-1,self-reported,,full-body,5.101557167,5.300851257,5.419087676,5.615108376,5.824909902,6.037457654,6.254993392,6.394834361,6.60872275,594,4.793454546,7.370090985
160,357,adlt height,ft,,1754-1,self-reported,,adult height,5.113101154,5.205185963,5.254663782,5.539333822,5.794977842,6.025917268,6.301271758,6.406950257,6.483434754,76,5.071221467,6.487871658
161,317,height,feet,,1754-1,self-reported,,body,4.983353493,5.322692602,5.410724233,5.622851904,5.832380333,6.045358908,6.215191133,6.328130386,6.604092484,406,4.56612211,6.798066612
162,267,height,feet,,1754-1,height rod,,full-body,5.064333652,5.284393232,5.413748163,5.608813032,5.82437051,6.042636443,6.243340717,6.357479646,6.615389615,4837,4.528859011,6.988807522
163,223,height,feet,,1754-1,height rod,,body,4.959480109,5.253699051,5.338895138,5.582636436,5.77490759,5.946423661,6.114958505,6.18154552,6.389788145,66,4.813260947,6.451282329
164,489,stature,ft,,6793-4,stadiometer,,full-body,5.088774145,5.296583722,5.443529623,5.616840834,5.847817977,6.087941827,6.273861812,6.378349927,6.58398414,457,4.876371219,6.757511984
165,129,adlt height,ft,,6793-4,stadiometer,,body,5.046871236,5.296524287,5.423376863,5.621794702,5.841029996,6.060282882,6.266210177,6.401486368,6.632867883,6025,4.582271912,7.095645687
166,483,ht,ft,,1754-1,self-reported,,height,5.065882898,5.21797228,5.35663201,5.626891826,5.798190196,5.998691773,6.218982441,6.367970914,6.488952612,285,4.856606398,6.623479403
167,155,stature,ft,,1754-1,digital stadiometer,,body,5.247396702,5.348226079,5.474716025,5.670010937,5.861165943,6.070250012,6.2618615,6.474840068,6.668973022,96,5.115893984,6.991422142
168,50,ht,ft,,6793-4,self-reported,,full-body,5.178906243,5.405719614,5.525549045,5.690775346,5.876329679,6.15008521,6.342900382,6.486181205,6.730742792,50,4.99859491,6.764907163
169,178,height,ft,,1754-1,height rod,,adult height,5.04613259,5.275678877,5.401504253,5.601359283,5.798303847,6.035671647,6.250521653,6.307065871,6.628250202,240,4.835418619,6.748847362
170,444,adlt height,ft,,1754-1,stadiometer,,full-body,5.226720368,5.477971336,5.565328459,5.729862556,5.865229606,6.012360077,6.1860751,6.219756528,6.243622797,18,5.163907626,6.249589364
171,421,height,feet,,1754-1,height rod,,full-body,5.037618094,5.314008508,5.414988577,5.613155418,5.830683064,6.040167316,6.23946419,6.327004696,6.540129497,623,4.786007735,6.883252338
172,291,height,feet,,1754-1,digital stadiometer,,height,5.054399983,5.299351763,5.401307722,5.599531092,5.819448619,6.062222349,6.230061078,6.351398507,6.607260654,751,4.836081374,6.758363423
173,75,adlt height,feet,,6793-4,height rod,,adult height,5.073744599,5.377957653,5.467738219,5.679197441,5.851350639,6.064194532,6.294424713,6.430249507,6.65195801,123,4.610611925,6.68306726
174,90,ht,feet,,1754-1,digital stadiometer,,full-body,5.232591242,5.318195802,5.452179704,5.62008546,5.8083465,6.037026621,6.293724379,6.346819373,6.499554879,130,5.128704824,6.688126264
175,589,stature,ft,,1754-1,digital stadiometer,,height,5.096483603,5.274758842,5.403893765,5.582318679,5.809456886,6.000505083,6.209117643,6.300126812,6.486342432,136,4.987254188,6.74399247
176,219,stature,ft,,1754-1,stadiometer,,full-body,5.063289909,5.28396378,5.4083047,5.62363283,5.846635819,6.071050968,6.266631079,6.40677131,6.653296125,1831,4.762170853,6.807535276
177,222,ht,ft,,6793-4,height rod,,full-body,5.085894615,5.300515325,5.396825549,5.603959263,5.823131518,6.027062383,6.209047475,6.341870956,6.588761224,844,4.976973382,6.861451489
178,599,ht,ft,,6793-4,height rod,,body,5.24652495,5.370300422,5.48770674,5.653110357,5.865815431,6.107849367,6.297857695,6.408668356,6.603174524,168,5.000478865,6.761064114
179,45,height,ft,,1754-1,self-reported,,full-body,5.064336563,5.302647782,5.414276127,5.61025337,5.832497319,6.051301425,6.250782527,6.373331453,6.584676452,7401,4.64087982,7.072425861
180,511,adlt height,feet,,1754-1,stadiometer,,height,4.974956023,4.999318788,5.033872916,5.49044612,5.596442381,6.065509991,6.192190611,6.199296654,6.224651297,21,4.968865332,6.230989958
181,419,ht,feet,,1754-1,height rod,,body,5.091340988,5.306325082,5.405774444,5.615212346,5.833591705,6.052276233,6.242686133,6.369293034,6.606666216,4912,4.583994215,7.14807308
182,498,stature,feet,,6793-4,stadiometer,,full-body,5.226308599,5.309062016,5.427653376,5.58955635,5.781097234,6.038606562,6.221312442,6.388782057,6.604662293,128,5.216002038,6.737101405
183,312,ht,ft,,6793-4,digital stadiometer,,body,5.27181409,5.466061665,5.489670974,5.618287988,5.887074477,6.104883301,6.313257266,6.372114067,6.427184318,33,5.188958189,6.431719566
184,140,ht,feet,,6793-4,stadiometer,,full-body,5.098748004,5.296806572,5.416904865,5.60177004,5.83557482,6.051573171,6.246847182,6.382826997,6.581392099,1122,4.729419492,6.988727537
185,40,adlt height,feet,,1754-1,height rod,,height,5.053247022,5.284008929,5.401564779,5.605900375,5.832718749,6.052795996,6.249005003,6.357552308,6.575165276,9879,4.526393078,7.174414378
186,30,adlt height,ft,,1754-1,height rod,,adult height,5.109755648,5.321052178,5.41421845,5.581434051,5.810126808,6.048568447,6.255597668,6.396890674,6.638576221,463,4.685938569,6.921357891
187,60,stature,ft,,6793-4,self-reported,,adult height,5.256682013,5.386518548,5.433410712,5.504927398,5.828228153,6.041759875,6.198028731,6.330446908,6.348837584,23,5.221275749,6.349986878
188,551,height,feet,,6793-4,stadiometer,,adult height,5.075713279,5.307044992,5.413764317,5.604244158,5.832155642,6.042343587,6.263589881,6.39818595,6.652693066,1438,4.807750115,6.982235892
189,416,adlt height,ft,,1754-1,self-reported,,full-body,5.575685409,5.631847153,5.69303563,5.791692372,5.992338972,6.081174315,6.202483312,6.209894462,6.214908252,12,5.561644973,6.216161699
190,472,height,feet,,6793-4,self-reported,,adult height,5.143023507,5.249004773,5.342773766,5.523879063,5.728982143,6.100406147,6.281751694,6.346736872,6.403234206,44,5.092084757,6.404862818
191,201,height,feet,,1754-1,stadiometer,,body,5.073832433,5.318061295,5.415861176,5.624296828,5.848568006,6.076052784,6.246965465,6.367806636,6.585154077,715,4.975233065,6.743266714
192,384,adlt height,feet,,1754-1,stadiometer,,height,5.059229991,5.300333778,5.415889714,5.612936698,5.828887961,6.059853817,6.257284784,6.386049507,6.606459031,3767,4.678875168,7.151585931
193,479,adlt height,feet,,1754-1,height rod,,adult height,5.275313821,5.359822592,5.450026477,5.502445176,5.746400088,5.966194175,6.119924366,6.158447612,6.184323933,12,5.254186629,6.190793013
194,478,ht,ft,,1754-1,stadiometer,,height,5.086726177,5.15786631,5.375608527,5.491061207,5.730078616,5.901307519,6.007717648,6.011094798,6.174865757,21,5.068941144,6.215808497
195,593,adlt height,ft,,6793-4,stadiometer,,height,5.190397953,5.362036755,5.577660518,5.682386424,5.811283711,6.087866443,6.271382263,6.488686965,6.611040691,27,5.16192207,6.652935575
196,194,stature,ft,,6793-4,stadiometer,,body,5.150704313,5.336729954,5.40995653,5.659592897,5.852270429,6.076118477,6.229757062,6.353075274,6.46276003,131,4.961828723,6.474663035
197,237,stature,ft,,6793-4,height rod,,adult height,5.078360866,5.339555992,5.447431495,5.660925597,5.813341657,5.99349019,6.192386287,6.289974882,6.452305223,200,4.927027079,6.756910897
198,306,stature,feet,,6793-4,height rod,,adult height,5.194897738,5.350093129,5.3790646,5.542227739,5.800164857,5.954051515,6.214598216,6.42608381,6.746823932,86,5.09074079,6.764349111
199,459,adlt height,ft,,1754-1,stadiometer,,adult height,4.953480536,5.257759746,5.421679717,5.65042719,5.848989341,6.059706383,6.203434197,6.294442791,6.393759582,74,4.854942449,6.480667555
200,281,stature,ft,,6793-4,stadiometer,,adult height,5.098456501,5.329247738,5.424937006,5.610853647,5.883029498,6.035955131,6.316563046,6.411667179,6.674879843,83,4.914886604,6.696687142
201,497,infant length,in,,14958-3,stadiometer,,infant,15.53242019,16.61726199,17.17716219,17.96245472,19.1485513,20.13696406,21.1723953,21.58827946,22.35399459,261,13.63841228,22.48364315
202,68,length,cm,,14957-5,stadiometer,,infant,43.40093853,45.08957559,46.11794075,48.17770337,49.58373894,51.8020119,52.92041105,53.9177727,57.40183241,176,42.9507565,58.23310228
203,343,infant length,ft,,14958-3,infant body measurement tape,,body length,1.444480338,1.455021196,1.46819727,1.543033451,1.664891533,1.74549451,1.756181035,1.761082391,1.765003476,8,1.441845123,1.765983747
204,188,length,in,,14958-3,tape,,body length,14.71725981,15.19233083,15.72572893,16.91910929,18.76183795,21.14664303,21.72174634,22.12621172,22.48219262,12,14.59849205,22.57118785
205,190,infant length,ft,,14957-5,stadiometer,,body length,1.294016501,1.378807111,1.426133375,1.493332125,1.574496803,1.664054532,1.745438037,1.785666579,1.860905727,1601,1.12701465,1.943918233
206,392,infant length,cm,,14958-3,stadiometer,,infant,44.56135441,45.63555152,46.87913402,48.7673172,49.26198639,52.39508278,53.15532148,53.54072936,54.09276084,33,44.47149188,54.20526015
207,522,length,cm,,14958-3,stadiometer,,body length,40.55372165,44.931448,46.13860977,48.01031326,49.83408947,52.12929561,53.04472225,53.94609034,55.28298378,93,36.24067699,55.45669193
208,501,infant length,ft,,14958-3,tape,,body length,1.294038178,1.37800186,1.422212574,1.494781578,1.58001767,1.666290124,1.735825499,1.782085561,1.86300486,3656,1.181801506,2.026324048
209,382,length,ft,,14958-3,stadiometer,,body length,1.353171361,1.464911133,1.481467215,1.526877793,1.590462372,1.654075294,1.6968822,1.762790636,1.794443239,35,1.305977879,1.806637497
210,93,infant length,in,,14957-5,tape,,body length,16.25779164,16.86906714,17.07488756,17.7380536,18.75133951,20.13810539,20.98662419,21.41623392,21.97454013,59,15.99157513,22.09501903
211,192,infant length,ft,,14957-5,infant body measurement tape,,body length,1.328092646,1.384609468,1.421009606,1.496709995,1.576356324,1.647036032,1.703977951,1.75471905,1.927782504,94,1.158269263,1.947728948
212,346,infant length,ft,,14958-3,tape,,infant,1.374621083,1.45437283,1.474061319,1.524412497,1.578175819,1.647040007,1.733842979,1.851155084,1.868043871,53,1.332271484,1.882549022
213,172,length,ft,,14957-5,tape,,body length,1.322790267,1.384652932,1.452870638,1.512242383,1.590501121,1.694594687,1.743184517,1.764742367,1.843695209,106,1.318225778,1.868243359
214,171,infant length,ft,,14958-3,infant body measurement tape,,infant,1.286812193,1.376516355,1.412367923,1.497479332,1.579692863,1.660850365,1.735380525,1.774262896,1.840005701,712,1.227221145,1.924345747
215,581,length,ft,,14957-5,tape,,infant,1.294365299,1.376337073,1.425931581,1.499147785,1.575607867,1.66190275,1.735806311,1.78499122,1.854658527,1091,1.19185977,2.020916365
216,142,length,in,,14957-5,stadiometer,,infant,15.64257463,16.59843284,17.11850205,18.07123735,19.08582336,20.06073848,20.96299094,21.44850397,22.319683,871,15.04549017,23.37510939
217,117,infant length,ft,,14957-5,stadiometer,,body length,1.284251609,1.377760786,1.425353097,1.500124047,1.578798336,1.662386694,1.73794579,1.789820613,1.864128139,2310,1.127221202,2.012955338
218,576,infant length,cm,,14958-3,tape,,infant,43.76899948,44.77403568,46.03033093,48.66869072,49.30898568,52.13457994,54.56933889,55.35961717,55.9918398,6,43.51774043,56.14989546
219,42,length,cm,,14957-5,infant body measurement tape,,infant,43.52716349,45.24792084,46.47806476,48.07375521,49.74259658,51.92329732,54.05489677,54.61205408,56.07591459,103,43.45727362,57.10798675
220,211,infant length,in,,14957-5,infant body measurement tape,,body length,15.75448274,16.5812949,17.0278692,17.91290174,18.98003936,20.06277668,21.04813842,21.58240915,22.67770542,1312,14.07077968,24.10128105
221,220,length,cm,,14957-5,stadiometer,,body length,43.05570256,44.92867689,46.1443385,47.90491582,49.92567618,51.90921463,53.81221025,54.86276435,57.20973011,2530,39.72862616,61.18794726
222,321,infant length,in,,14957-5,tape,,infant,15.50433333,16.55781837,17.08828684,18.00340177,19.06094776,20.00401386,20.91385996,21.48901723,22.42271439,1658,14.126137,23.85367102
223,270,length,cm,,14958-3,stadiometer,,infant,42.89322831,45.10774957,46.15027875,47.96651582,49.96353205,51.98137573,53.8085678,54.80239259,56.7665698,4092,37.82107116,62.05647147
224,443,length,ft,,14958-3,stadiometer,,body length,1.299157449,1.375277189,1.416269481,1.493974818,1.573012087,1.657938083,1.734453179,1.786239737,1.865973535,1309,1.187606422,1.988757404
225,554,length,in,,14957-5,stadiometer,,infant,15.50549327,16.60310023,17.28247323,18.19053661,19.07243759,20.08931101,20.75146789,21.2648321,22.18746618,518,13.81663678,23.21026889
226,336,infant length,cm,,14958-3,tape,,infant,46.14224394,46.70615231,47.41103778,48.66867656,51.21255137,52.72429851,52.93030592,53.18749629,53.39324858,9,46.00126684,53.44468665
227,445,infant length,ft,,14957-5,stadiometer,,infant,1.446930381,1.46540514,1.488498589,1.5389473,1.638342274,1.688512673,1.721613366,1.744748326,1.763256294,8,1.442311691,1.767883286
228,452,length,cm,,14958-3,infant body measurement tape,,infant,43.93093555,44.79819424,45.54801416,48.67020633,50.12178572,52.37072374,53.75806751,55.14505027,58.41611095,45,43.52317415,59.43615078
229,304,length,ft,,14957-5,stadiometer,,body length,1.325242616,1.41425415,1.441436258,1.502312831,1.62076539,1.674792953,1.716064596,1.730777497,1.766142605,18,1.302989732,1.774983882
230,574,length,in,,14958-3,stadiometer,,body length,15.44073698,16.57933463,17.17529258,18.02880297,18.96827703,19.96192486,20.75418689,21.06718217,22.20694862,216,14.21760189,22.62644677
231,567,length,ft,,14958-3,tape,,body length,1.248114349,1.366743763,1.41388057,1.486450964,1.573738409,1.668502487,1.753790196,1.803931822,1.870121852,390,1.199872145,1.936553849
232,462,infant length,cm,,14957-5,stadiometer,,body length,44.08215962,45.39169536,46.41945303,49.00429789,49.83962135,52.18348194,53.71193686,55.38167104,56.52290021,30,43.56761072,56.65069981
233,218,length,ft,,14958-3,infant body measurement tape,,infant,1.304604244,1.370890323,1.422804235,1.501068751,1.586426579,1.666783966,1.732032327,1.77502173,1.841743968,601,1.237479574,1.985128687
234,261,length,cm,,14958-3,infant body measurement tape,,body length,43.07176332,45.24159063,46.16860847,47.81641946,49.75855618,51.75582007,53.82231216,55.05571542,56.72403102,694,40.24841241,58.63458638
235,433,length,in,,14958-3,infant body measurement tape,,infant,16.35480504,17.03975881,17.56701184,18.15934133,18.97303855,19.8284116,20.54767045,20.96280022,22.06902216,80,16.24843479,22.20382195
236,315,length,in,,14958-3,infant body measurement tape,,body length,15.37114079,16.69498769,17.14864611,18.12228349,19.18290384,20.15109142,21.05949889,21.40351377,22.21457446,406,13.58381251,23.18354496
237,371,infant length,cm,,14957-5,tape,,body length,44.24104829,44.53447034,45.18072867,48.18310031,50.21476526,51.40109531,54.1470653,55.30863043,56.00693703,27,44.16905913,56.24888327
238,37,infant length,in,,14957-5,tape,,body length,15.54154039,16.55980472,17.03140735,17.95452095,19.01660862,20.01596326,20.88333798,21.40834435,22.2388726,1728,14.10722363,23.35941142
239,584,length,in,,14958-3,infant body measurement tape,,body length,14.45690647,16.47477636,17.07330103,17.71147338,18.76176905,20.13258687,20.97872893,21.60639833,21.95770475,42,13.94372671,22.02980418
240,365,infant length,in,,14958-3,tape,,infant,16.86583318,17.33665346,17.52433623,18.16766242,20.16768902,20.94944838,21.45588372,22.46725747,22.7101695,23,16.73842507,22.74878586
241,54,length,cm,,14957-5,tape,,body length,43.97722307,45.48252072,46.28551807,48.08224301,50.08675923,52.07498202,54.41750336,55.13411841,56.92251688,274,39.96352442,57.96300965
242,322,length,in,,14957-5,stadiometer,,infant,15.61029381,16.00608916,16.91961175,17.7384104,18.75460073,19.51961692,20.73879359,21.11628823,21.56878583,83,15.48889469,22.06864747
243,216,length,in,,14958-3,stadiometer,,body length,16.9102523,17.00215054,17.15398367,17.84965167,19.03222884,20.42991654,20.82368419,20.88932582,20.93351565,12,16.88727774,20.94456311
244,116,length,in,,14957-5,stadiometer,,infant,16.08456998,16.84292455,17.29567228,18.0324788,19.08632651,19.96125391,20.83307737,21.52372303,22.11577718,198,14.50306962,23.45552902
245,548,infant length,ft,,14958-3,tape,,body length,1.324298782,1.389163339,1.434155356,1.502497447,1.584320417,1.665032468,1.740112186,1.787426856,1.891924637,819,1.174050253,2.043058122
246,590,length,ft,,14958-3,infant body measurement tape,,body length,1.282883184,1.366083224,1.411065206,1.491256922,1.566797486,1.647152851,1.694823479,1.702043811,1.741442013,78,1.25193363,1.823083196
247,1,infant length,ft,,14957-5,tape,,body length,1.314353752,1.314945684,1.315685598,1.53371998,1.567239936,1.603558816,1.614637669,1.626591507,1.636154578,11,1.31420577,1.638545346
248,224,length,cm,,14958-3,stadiometer,,infant,47.46863797,47.80032128,48.21492541,50.05234768,52.47529927,54.55017027,56.02974467,56.1704003,56.2829248,10,47.38571714,56.31105592
249,531,length,ft,,14957-5,tape,,infant,1.286364392,1.371361306,1.414651191,1.50094519,1.580142124,1.661319983,1.721401571,1.785754885,1.867144228,153,1.261955827,1.90658773
250,538,length,in,,14958-3,tape,,body length,17.40118174,17.60010904,17.84876817,18.73794975,19.88692394,20.38894312,21.18191876,22.22520316,23.05983068,10,17.35144992,23.26848756
251,440,length,cm,,14958-3,stadiometer,,infant,43.15359479,45.25099649,46.32329988,48.20310073,50.07525507,52.07825739,53.89510051,55.08843637,57.24365448,2088,37.70233137,59.38981678
252,408,infant length,ft,,14957-5,infant body measurement tape,,infant,1.262778445,1.384299277,1.409847467,1.493463853,1.563508833,1.672845989,1.758315758,1.787807142,1.886997405,190,1.222585936,1.906238738
253,7,length,ft,,14958-3,tape,,infant,1.343023304,1.39412143,1.438821151,1.497943282,1.586198666,1.664187897,1.798397519,1.84268984,1.902410176,56,1.296549795,1.905981817
254,200,infant length,in,,14958-3,tape,,infant,18.85029581,18.87934555,18.91565771,19.02459422,19.57545524,19.65025001,20.80705433,21.19265577,21.50113692,5,18.84303338,21.57825721
255,482,infant length,ft,,14958-3,infant body measurement tape,,infant,1.30233822,1.366119932,1.421446345,1.496641458,1.572695895,1.667464064,1.734736871,1.776018139,1.86539856,411,1.115054686,1.916171881
256,389,infant length,ft,,14957-5,tape,,infant,1.296150138,1.373938952,1.421170346,1.497654447,1.579854775,1.663559565,1.740911426,1.794457655,1.874114143,2259,1.120278782,2.027022034
257,48,length,cm,,14957-5,tape,,body length,42.87014068,43.84418662,45.23847448,48.55089464,50.52701301,52.79921118,54.03583538,55.6146224,56.12252292,54,42.66356944,56.16526695
258,451,length,ft,,14957-5,tape,,body length,1.280738701,1.369140101,1.419649001,1.492995174,1.577059936,1.659946353,1.737630342,1.783680182,1.853093395,2861,1.136463402,2.004002646
259,147,length,cm,,14958-3,stadiometer,,body length,43.38651742,45.4934266,46.48344817,47.87671946,49.85195006,51.99040663,53.75019354,55.02168806,56.90682185,388,40.71196443,59.08546997
260,363,length,in,,14957-5,infant body measurement tape,,body length,15.78925899,16.81424331,17.18495045,18.02712523,18.98281761,20.08226265,21.11640369,21.70499283,22.67644264,64,15.11282387,22.88131882
261,555,infant length,ft,,14958-3,stadiometer,,body length,1.390855575,1.416933595,1.444170483,1.482303077,1.552892766,1.61399229,1.768694645,1.805686481,1.833451992,26,1.383826083,1.840201043
262,106,infant length,ft,,14958-3,infant body measurement tape,,body length,1.357760725,1.383006369,1.414638876,1.515865337,1.598783507,1.670617246,1.774126104,1.813380139,1.896257377,148,1.282015429,1.928701791
263,505,length,cm,,14958-3,tape,,infant,43.10640601,45.02502834,45.82857699,47.94620179,49.64436104,51.6199233,53.3070184,54.69993029,57.05135095,276,41.7638696,57.92306914
264,316,length,cm,,14958-3,tape,,infant,43.04937419,44.98432478,46.1433774,47.94690324,50.00574298,52.07606544,53.95359785,55.08724037,56.88145859,4839,39.55464152,60.19310767
265,372,infant length,cm,,14958-3,stadiometer,,infant,42.8181115,44.79551641,45.98387547,47.783655,49.84935839,51.86993639,53.697555,54.78075589,57.54778886,1018,39.48235452,62.33712216
266,595,length,in,,14958-3,infant body measurement tape,,infant,15.41169516,16.73257277,16.93658918,17.91613785,18.59818087,20.55318768,21.06831094,21.47786459,22.03419337,46,14.41727784,22.21776868
267,308,infant length,ft,,14957-5,stadiometer,,infant,1.278146404,1.377910552,1.423852715,1.495664403,1.580413157,1.662935401,1.738150829,1.788894626,1.859397429,1617,1.116715234,1.991778963
268,307,infant length,ft,,14957-5,stadiometer,,body length,1.282102782,1.39456603,1.442459694,1.498291473,1.584361174,1.672515383,1.75577511,1.789270644,1.882078543,449,1.144583841,1.980824129
269,383,infant length,ft,,14957-5,infant body measurement tape,,infant,1.334732179,1.368287604,1.388479351,1.482124885,1.525175749,1.664310894,1.749528365,1.787363904,1.91961006,45,1.324683437,1.983128909
270,44,length,ft,,14957-5,stadiometer,,infant,1.274533211,1.349358558,1.404296775,1.490226487,1.563836277,1.646653264,1.721660707,1.788702591,1.868586268,155,1.072342335,1.897920564
271,26,length,ft,,14957-5,tape,,infant,1.287516316,1.375986732,1.416285218,1.489872971,1.573913433,1.658870526,1.741997062,1.781939802,1.866292746,3445,1.100314771,2.074553276
272,180,length,ft,,14958-3,stadiometer,,infant,1.333925129,1.370285736,1.418479593,1.473043655,1.568055279,1.680330854,1.751800239,1.788755275,1.871543717,215,1.292943784,1.970275004
273,484,infant length,cm,,14958-3,infant body measurement tape,,infant,42.73386964,45.02734446,46.18208038,48.05604932,49.92178172,51.90020175,53.81827925,55.05845961,57.09932836,2691,38.54713433,60.26971827
274,580,infant length,ft,,14958-3,stadiometer,,body length,1.270956761,1.371959879,1.408406907,1.498577541,1.586375368,1.674022062,1.7526074,1.797439817,1.866951336,1290,1.210876041,1.985508134
275,454,length,ft,,14957-5,tape,,body length,1.260226262,1.320107002,1.402133129,1.534513378,1.595247334,1.752217182,1.828592031,1.892059239,1.953916034,13,1.245256077,1.969380233
276,264,infant length,in,,14958-3,infant body measurement tape,,body length,15.44432137,16.41607385,17.04023449,17.97004307,19.01799027,19.99692399,20.91245425,21.43132946,22.42503535,2092,14.24555805,23.99906944
277,135,infant length,ft,,14958-3,stadiometer,,infant,1.385074965,1.388849514,1.393567699,1.407722255,1.466089242,1.505272246,1.623058265,1.662320271,1.693729876,5,1.384131328,1.701582277
278,14,infant length,ft,,14958-3,tape,,body length,1.316976029,1.371504736,1.40431139,1.498989712,1.582504833,1.667675318,1.726154786,1.770256546,1.849870189,314,1.238756884,1.962881038
279,506,infant length,in,,14957-5,tape,,body length,15.49345836,16.15062014,16.74047864,17.64506404,18.97656199,20.17482306,21.22416519,21.67606119,23.2736629,218,15.05372808,23.67818174
280,239,length,in,,14957-5,infant body measurement tape,,body length,15.54729953,16.29454322,16.88035665,17.98286889,19.27625979,20.18185449,21.00407431,21.42862033,22.60665786,263,14.29859996,23.11654234
281,386,length,ft,,14958-3,infant body measurement tape,,infant,1.357581375,1.40406196,1.424257125,1.503626716,1.593204844,1.652014645,1.722641646,1.745790112,1.826992732,98,1.278713038,1.97479934
282,335,infant length,ft,,14958-3,infant body measurement tape,,infant,1.332297493,1.363129873,1.432194005,1.500887196,1.573613568,1.659100392,1.703438206,1.756137061,1.829885884,280,1.327842467,1.923788032
283,107,infant length,ft,,14957-5,stadiometer,,body length,1.25817703,1.369853308,1.415645328,1.492912806,1.56726533,1.643772473,1.767758452,1.794811268,1.826156203,18,1.230257961,1.833992437
284,527,infant length,ft,,14957-5,tape,,body length,1.370510521,1.390903845,1.413669088,1.515888191,1.596695898,1.654766293,1.743143726,1.771996617,1.830087283,94,1.370149381,1.849777692
285,578,length,ft,,14958-3,tape,,body length,1.302727855,1.392268996,1.428037655,1.502600688,1.581487036,1.673089131,1.730593259,1.763234709,1.846203079,191,1.259685594,1.969022845
286,279,length,in,,14958-3,infant body measurement tape,,infant,15.06266369,16.4113734,17.02469032,17.95403173,18.95439146,19.90487912,20.7416004,21.29384348,22.21366508,438,13.55623105,22.62922264
287,563,length,cm,,14957-5,tape,,body length,43.13363897,45.0890917,46.12782797,47.79010368,49.94010312,52.21164068,54.1264864,55.31852349,56.99715934,1950,38.8404884,60.2811232
288,32,infant length,cm,,14958-3,stadiometer,,body length,43.1115469,45.12290872,46.09298833,47.94973731,49.97723483,52.05494662,53.76312837,54.6728626,56.80310015,1524,41.00671346,59.36523104
289,89,infant length,ft,,14958-3,tape,,infant,1.324146928,1.39364604,1.432000091,1.479483338,1.565005602,1.626544617,1.70074788,1.798238859,1.916577624,97,1.203994876,1.971368853
290,94,infant length,cm,,14957-5,infant body measurement tape,,infant,43.68052834,44.48304163,45.82630406,47.83750036,50.24529753,51.85587085,53.53647734,54.51600457,57.21973613,110,38.15676638,59.28947518
291,199,length,cm,,14958-3,infant body measurement tape,,infant,43.32533935,45.9609725,46.56444284,48.14074463,49.71032901,52.36059332,53.72307326,53.91970686,56.38556231,68,41.91671459,59.04346556
292,65,infant length,ft,,14957-5,tape,,body length,1.299627388,1.388850752,1.433193673,1.506955615,1.594268647,1.671320783,1.738106232,1.77447457,1.84936505,667,1.151583266,2.023349625
293,9,length,cm,,14957-5,stadiometer,,infant,44.5820175,46.0382016,47.10951197,48.53532618,50.73484321,51.95760843,53.72259209,54.56129801,58.72400328,44,44.36057136,60.72325878
294,487,infant length,cm,,14957-5,tape,,infant,43.60938234,45.20242664,46.37751748,47.64058773,49.8250265,50.90453981,52.79484503,53.72276871,55.93102741,44,43.37043258,56.7492287
